base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.humidity,main.pressure,main.temp,main.temp_max,main.temp_min,name,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,visibility,weather,wind.deg,wind.speed,weather.description,weather.icon,weather.id,weather.main
stations,75,200,3.12,101.68,1537664400,1735161,78,1013,301.15,301.15,301.15,Kuala Lumpur,MY,8138,0.0075,1537657350,1537700938,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537666200,1735161,79,1013,301.62,302.15,301.15,Kuala Lumpur,MY,8132,0.1303,1537657350,1537700937,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537668000,1735161,66,1013,303.15,303.15,303.15,Kuala Lumpur,MY,8138,0.0055,1537657350,1537700937,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537669800,1735161,66,1013,303.63,304.15,303.15,Kuala Lumpur,MY,8132,0.0046,1537657349,1537700936,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537671600,1735161,62,1013,304.15,304.15,304.15,Kuala Lumpur,MY,8138,0.0187,1537657349,1537700936,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",120,2.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537673400,1735161,62,1013,304.15,304.15,304.15,Kuala Lumpur,MY,8132,0.0072,1537657349,1537700935,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",170,2.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537675200,1735161,59,1013,304.62,305.15,304.15,Kuala Lumpur,MY,8138,0.0051,1537657348,1537700935,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",160,3.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537677000,1735161,70,1012,304.68,305.15,304.15,Kuala Lumpur,MY,8132,0.0052,1537657348,1537700934,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",190,3.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537678800,1735161,59,1012,304.62,305.15,304.15,Kuala Lumpur,MY,8138,0.0047,1537657348,1537700934,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",140,3.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537680600,1735161,66,1011,304.68,305.15,304.15,Kuala Lumpur,MY,8132,0.0055,1537657347,1537700933,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",160,3.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537682400,1735161,62,1011,304.62,305.15,304.15,Kuala Lumpur,MY,8138,0.0064,1537657347,1537700933,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",170,4.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537684200,1735161,62,1010,305.15,305.15,305.15,Kuala Lumpur,MY,8132,0.005,1537657346,1537700932,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",190,3.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537686000,1735161,62,1010,304.62,305.15,304.15,Kuala Lumpur,MY,8138,0.0058,1537657346,1537700931,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",170,4.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537687800,1735161,62,1010,304.68,305.15,304.15,Kuala Lumpur,MY,8132,0.0066,1537657346,1537700931,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",160,4.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537689600,1735161,66,1009,304.15,304.15,304.15,Kuala Lumpur,MY,8138,0.0052,1537657345,1537700930,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",150,4.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537691400,1735161,66,1009,303.68,304.15,303.15,Kuala Lumpur,MY,8132,0.0058,1537657345,1537700930,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",150,3.1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537693200,1735161,70,1009,303.15,303.15,303.15,Kuala Lumpur,MY,8138,0.0069,1537657345,1537700929,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",100,2.6,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537695000,1735161,70,1008,303.15,303.15,303.15,Kuala Lumpur,MY,8132,0.0065,1537657345,1537700929,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",150,1.5,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537696800,1735161,74,1008,302.68,303.15,302.15,Kuala Lumpur,MY,8138,0.0081,1537657344,1537700928,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",70,1.5,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537698600,1735161,74,1008,302.62,303.15,302.15,Kuala Lumpur,MY,8132,0.0068,1537657344,1537700928,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1,broken clouds,04d,803,Clouds
stations,75,200,3.12,101.68,1537700400,1735161,74,1009,302.15,302.15,302.15,Kuala Lumpur,MY,8138,0.0333,1537657343,1537700927,1,10000,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",1.5,broken clouds,04d,803,Clouds
