DateTime,IsoWeekday,A,B,C,G,H,P,U
2018-10-01 00:00:01.183943,1,1574,2595,1801,1159,1225,308,799
2018-10-01 00:15:08.780453,1,1577,2597,1806,1182,1245,307,798
2018-10-01 00:30:06.705435,1,1606,2611,1840,1254,1317,309,802
2018-10-01 00:45:01.567979,1,634,2616,836,1269,1332,308,802
2018-10-01 01:00:14.226833,1,638,2628,834,1293,1348,309,804
2018-10-01 01:15:01.714629,1,643,2632,833,1301,1354,308,804
2018-10-01 01:30:00.798863,1,645,2632,835,1315,1367,309,803
2018-10-01 01:45:00.814434,1,654,2638,840,1344,1390,310,803
2018-10-01 02:00:01.192446,1,667,2640,848,1393,1434,312,803
2018-10-01 02:15:00.836083,1,667,2639,849,1408,1445,312,804
2018-10-01 02:30:01.432846,1,677,2640,850,1448,1475,313,803
2018-10-01 02:45:00.998356,1,703,2640,855,1461,1489,313,803
2018-10-01 03:00:01.423244,1,703,2641,857,1463,1491,313,804
2018-10-01 03:15:00.816880,1,787,2640,858,1478,1500,314,804
2018-10-01 03:30:01.569893,1,788,2644,860,1484,1504,314,806
2018-10-01 03:45:08.338310,1,789,2642,863,1486,1506,314,805
2018-10-01 04:00:00.810301,1,788,2643,862,1485,1507,314,807
2018-10-01 04:15:00.828961,1,788,2643,864,1488,1508,314,807
2018-10-01 04:30:01.191349,1,789,2643,862,1485,1508,314,808
2018-10-01 04:45:00.850610,1,789,2642,863,1486,1508,314,807
2018-10-01 05:00:01.509840,1,788,2639,864,1484,1508,314,806
2018-10-01 05:15:00.856642,1,789,2644,864,1484,1508,314,813
2018-10-01 05:30:01.187772,1,786,2642,864,1484,1508,314,812
2018-10-01 05:45:00.768907,1,788,2640,863,1485,1507,314,812
2018-10-01 06:00:01.021889,1,786,2637,866,1484,1505,314,812
2018-10-01 06:15:00.806213,1,786,2627,862,1481,1502,314,808
2018-10-01 06:30:01.199820,1,783,2610,851,1481,1496,314,801
2018-10-01 06:45:00.796612,1,777,2578,838,1469,1483,314,787
2018-10-01 07:00:01.408968,1,771,2523,821,1437,1460,313,770
2018-10-01 07:15:00.802636,1,758,2456,810,1414,1432,313,756
2018-10-01 07:30:01.180650,1,730,2389,794,1392,1396,313,737
2018-10-01 07:45:00.996161,1,712,2313,769,1208,1271,313,640
2018-10-01 08:00:01.405424,1,680,2221,743,1169,1226,313,624
2018-10-01 08:15:00.830310,1,629,2118,698,1128,1177,314,607
2018-10-01 08:30:01.333324,1,575,1962,660,1075,1120,312,588
2018-10-01 08:45:00.805116,1,503,1795,583,1000,1031,310,561
2018-10-01 09:00:01.589349,1,408,1628,501,922,943,309,533
2018-10-01 09:15:00.811141,1,313,1396,391,833,844,308,491
2018-10-01 09:30:01.423496,1,215,1193,292,713,711,306,447
2018-10-01 09:45:00.801539,1,128,1033,202,587,584,304,401
2018-10-01 10:00:01.382645,1,47,879,83,476,476,300,368
2018-10-01 10:15:00.807564,1,251,735,213,382,384,294,341
2018-10-01 10:30:04.216732,1,171,620,110,309,308,288,317
2018-10-01 10:45:00.782337,1,85,508,56,259,259,279,289
2018-10-01 11:00:01.410351,1,30,413,21,213,213,266,266
2018-10-01 11:15:00.819613,1,FULL,322,FULL,162,161,252,256
2018-10-01 11:30:01.166374,1,FULL,239,FULL,115,112,237,235
2018-10-01 11:45:00.825658,1,FULL,151,FULL,66,67,226,214
2018-10-01 12:00:01.203648,1,FULL,72,FULL,35,33,199,195
2018-10-01 12:15:00.831692,1,FULL,FULL,FULL,FULL,FULL,180,180
2018-10-01 12:30:01.334673,1,FULL,FULL,FULL,FULL,FULL,154,145
2018-10-01 12:45:00.837716,1,FULL,FULL,FULL,FULL,FULL,127,102
2018-10-01 13:00:01.403196,1,FULL,FULL,FULL,FULL,FULL,106,63
2018-10-01 13:15:00.812491,1,FULL,FULL,FULL,FULL,FULL,88,32
2018-10-01 13:30:01.503007,1,FULL,FULL,FULL,FULL,FULL,73,14
2018-10-01 13:45:00.787264,1,FULL,FULL,FULL,FULL,FULL,64,FULL
2018-10-01 14:00:01.524602,1,FULL,FULL,FULL,FULL,FULL,46,FULL
2018-10-01 14:15:00.824570,1,11,FULL,13,FULL,FULL,40,11
2018-10-01 14:30:01.499428,1,FULL,FULL,16,FULL,FULL,31,11
2018-10-01 14:45:00.814975,1,FULL,FULL,FULL,FULL,FULL,29,12
2018-10-01 15:00:01.224199,1,9,FULL,FULL,FULL,FULL,22,15
2018-10-01 15:15:00.805369,1,FULL,FULL,13,FULL,FULL,26,9
2018-10-01 15:30:01.196892,1,12,40,FULL,FULL,FULL,44,FULL
2018-10-01 15:45:00.827019,1,FULL,71,FULL,FULL,FULL,62,10
2018-10-01 16:00:01.392531,1,FULL,76,FULL,FULL,FULL,86,28
2018-10-01 16:15:00.801793,1,17,97,23,16,15,104,49
2018-10-01 16:30:01.164180,1,29,164,20,20,22,132,78
2018-10-01 16:45:00.792191,1,71,226,45,55,30,145,155
2018-10-01 17:00:01.404578,1,92,265,50,76,55,159,185
2018-10-01 17:15:01.048216,1,117,341,92,103,88,182,200
2018-10-01 17:30:01.176228,1,143,381,100,110,103,181,240
2018-10-01 17:45:00.819900,1,196,473,132,155,129,191,270
2018-10-01 18:00:01.432245,1,291,550,155,197,178,194,304
2018-10-01 18:15:00.810295,1,415,622,173,249,234,203,327
2018-10-01 18:30:01.172683,1,558,696,233,314,278,209,356
2018-10-01 18:45:00.800695,1,673,748,235,354,311,217,376
2018-10-01 19:00:01.225582,1,764,800,238,391,342,218,389
2018-10-01 19:15:00.822344,1,812,828,287,439,378,215,410
2018-10-01 19:30:01.481606,1,818,894,352,489,434,218,442
2018-10-01 19:45:00.843993,1,849,955,431,562,489,217,466
2018-10-01 20:00:01.409506,1,866,1001,469,587,530,221,480
2018-10-01 20:15:00.834423,1,886,1097,571,622,566,225,501
2018-10-01 20:30:01.196779,1,901,1213,664,660,612,239,524
2018-10-01 20:45:01.121698,1,941,1335,766,719,661,239,551
2018-10-01 21:00:01.202835,1,993,1472,874,772,722,249,585
2018-10-01 21:15:00.830836,1,1075,1649,1015,816,783,259,615
2018-10-01 21:30:01.177611,1,1177,1807,1122,850,835,268,642
2018-10-01 21:45:01.008747,1,1261,1964,1271,905,892,279,685
2018-10-01 22:00:01.558634,1,1369,2140,1419,958,964,291,709
2018-10-01 22:15:00.811646,1,1496,2295,1584,1053,1081,301,742
2018-10-01 22:30:01.674034,1,1558,2387,1659,1133,1165,300,759
2018-10-01 22:45:01.052045,1,1600,2426,1711,1172,1209,302,769
2018-10-01 23:00:00.805089,1,1622,2467,1739,1180,1220,302,777
2018-10-01 23:15:00.901862,1,1641,2509,1780,1201,1249,306,786
2018-10-01 23:30:01.373582,1,1662,2538,1799,1213,1256,306,785
2018-10-01 23:45:00.861001,1,1677,2564,1802,1246,1293,306,788
2018-10-02 00:00:01.160889,2,1688,2589,1826,1255,1305,306,796
2018-10-02 00:15:00.804525,2,1694,2604,1839,1281,1331,311,799
2018-10-02 00:30:01.448162,2,1694,2607,1853,1298,1354,312,803
2018-10-02 00:45:00.810549,2,724,2614,848,1315,1370,314,806
2018-10-02 01:00:00.813560,2,732,2620,851,1337,1387,314,807
2018-10-02 01:15:00.816604,2,743,2627,851,1347,1397,313,809
2018-10-02 01:30:01.350837,2,750,2631,857,1373,1422,313,811
2018-10-02 01:45:00.853845,2,757,2635,865,1397,1443,313,814
2018-10-02 02:00:01.450610,2,768,2635,867,1438,1473,315,814
2018-10-02 02:15:00.813031,2,776,2636,868,1444,1478,315,814
2018-10-02 02:30:01.409759,2,777,2637,871,1454,1486,315,816
2018-10-02 02:45:00.850304,2,789,2635,878,1474,1497,315,816
